day_of_year,day_of_month,day_of_week,week_,month_,quarter_,year_,event_count,org_ct,ind_ct,repo_watch_event_count,repo,user_event_count,username
260,17,3,37,9,3,2019,2059502,685256,1374246,1815,microsoft/STL,48,bvcms-teamcity
261,18,4,37,9,3,2019,2049011,685682,1363329,588,microsoft/STL,59,bvcms-teamcity
262,19,5,37,9,3,2019,2007409,675422,1331987,3501,dylanaraps/pure-bash-bible,34,latobarita
263,20,6,37,9,3,2019,1832207,616951,1215256,1515,eon01/kubernetes-workshop,83,MartinMalinda
264,21,7,37,9,3,2019,1212122,293580,918542,652,denisidoro/navi,52,habibieeddien
265,22,1,38,9,3,2019,1268967,290997,977970,478,microsoft/cascadia-code,31,snaiksat
266,23,2,38,9,3,2019,1984532,665875,1318657,555,microsoft/cascadia-code,52,collabTester18
267,24,3,38,9,3,2019,1944549,658667,1285882,743,microsoft/c9-python-getting-started,428,ayazhafiz
268,25,4,38,9,3,2019,2052643,693887,1358756,838,microsoft/c9-python-getting-started,32,kdrozdov
269,26,5,38,9,3,2019,2019504,680464,1339040,364,denisidoro/navi,82,lutanya
270,27,6,38,9,3,2019,1870400,640560,1229840,1063,axi0mX/ipwndfu,75,elpiankova
271,28,7,38,9,3,2019,1266779,316790,949989,1203,axi0mX/ipwndfu,69,DzianisMatveyenka
272,29,1,39,9,3,2019,1364833,333914,1030919,888,axi0mX/ipwndfu,53,macajind
273,30,2,39,9,3,2019,1991135,671128,1320007,681,axi0mX/ipwndfu,50,NICE-TeamCity
274,1,3,39,10,4,2019,1984662,653578,1331084,414,iptv-org/iptv,37,xavierlepretre
275,2,4,39,10,4,2019,1968591,649393,1319198,566,iptv-org/iptv,45,NICE-TeamCity
276,3,5,39,10,4,2019,1926387,639780,1286607,600,iptv-org/iptv,55,bvcms-teamcity
277,4,6,39,10,4,2019,1875251,629847,1245404,549,iptv-org/iptv,157,elpiankova
278,5,7,39,10,4,2019,1272283,320182,952101,1130,vuejs/vue-next,24,madskills700
279,6,1,40,10,4,2019,1307321,316707,990614,501,vuejs/vue-next,86,egonw
280,7,2,40,10,4,2019,1957084,659642,1297442,874,idealo/imagededup,76,at-dev-support-01
281,8,3,40,10,4,2019,2054601,684418,1370183,1329,vuejs/vue-next,46,eric-ch
282,9,4,40,10,4,2019,2084869,698685,1386184,1252,kon9chunkit/GitHub-Chinese-Top-Charts,106,trajanmcgill
283,10,5,40,10,4,2019,1965824,651351,1314473,1563,kon9chunkit/GitHub-Chinese-Top-Charts,87,jonpugh
284,11,6,40,10,4,2019,1914586,641402,1273184,1149,kon9chunkit/GitHub-Chinese-Top-Charts,110,jonpugh
285,12,7,40,10,4,2019,1377168,347640,1029528,1043,uber-go/guide,36,Pajinell
286,13,1,41,10,4,2019,1318244,313746,1004498,573,uber-go/guide,42,elpiankova
287,14,2,41,10,4,2019,2027438,659148,1368290,1234,fangzesheng/free-api,66,NICE-TeamCity
288,15,3,41,10,4,2019,2134789,713132,1421657,793,fangzesheng/free-api,67,NICE-TeamCity
289,16,4,41,10,4,2019,2018174,666290,1351884,474,fangzesheng/free-api,161,NICE-TeamCity
290,17,5,41,10,4,2019,2021920,676654,1345266,903,dapr/dapr,49,NICE-TeamCity
291,18,6,41,10,4,2019,1955226,646098,1309128,540,dapr/dapr,131,elpiankova
292,19,7,41,10,4,2019,1319441,325930,993511,385,dapr/dapr,70,ayazhafiz
293,20,1,42,10,4,2019,1361384,318021,1043363,379,tinacms/tinacms,46,alexmozheyko
294,21,2,42,10,4,2019,2277063,694702,1582361,525,ripienaar/free-for-dev,50,NICE-TeamCity
